user_id,avg_hold,hold_variance,avg_pause,kpm,backspace_rate,stress_level
U07,0.129696493,0.016731191,0.455863354,48.0,0.104166667,1.0
U07,1.822164913,58.00177753,0.430999807,117.0,0.188034188,1.0
U07,0.15980429,0.266619088,0.551164734,95.0,0.021052632,
U07,0.115751205,0.009328633,0.281967052,172.0,0.11627907,
U07,0.366503118,6.527081882,0.610662499,99.0,0.111111111,
U07,0.352798443,5.363715773,0.309816835,191.0,0.036649215,
U07,1.030264612,5.28028856,0.490802387,102.0,0.166666667,
U07,0.101725414,0.000870113,1.26993123,45.0,0.044444444,3.0
U07,0.121918917,0.013802479,0.531477847,80.0,0.0375,3.0
U07,0.696437773,10.56968595,0.683054899,87.0,0.137931034,
U07,0.201129651,0.037831793,0.397886863,27.0,0.074074074,
U07,0.104424286,0.000597796,0.878814909,10.0,0.2,
U07,0.157285489,0.025906498,0.457501721,85.0,0.011764706,
U07,0.156271249,0.120820665,0.748809781,80.0,0.15,
U07,0.100663158,0.000740184,1.323419199,26.0,0.115384615,
U07,0.128598339,0.007998729,1.017865139,58.0,0.068965517,2.0
U07,0.092910619,0.001609092,1.864696932,31.0,0.129032258,2.0
U07,0.149264901,0.009369108,1.213959049,28.0,0.142857143,
U07,0.106619075,0.002025067,0.341571407,86.0,0.058139535,
U07,0.158899528,0.029763357,0.522550607,69.0,0.028985507,
U07,0.122180364,0.005480694,0.365304738,42.0,0.0,
U07,0.115640623,0.01211329,0.501308968,102.0,0.058823529,
U07,0.396034082,0.003422287,4.414344168,6.0,0.0,4.0
U07,0.182304633,0.172459941,0.259444696,67.0,0.223880597,1.0
U07,0.136283696,0.002254097,1.282279158,6.0,0.0,1.0
U07,0.736675955,4.499591678,0.298176826,76.0,0.118421053,
U07,0.101949754,0.001855691,0.753096431,73.0,0.04109589,
U07,0.085333029,1.69e-05,3.437693954,3.0,0.0,
U07,0.118173778,0.001237226,0.178600868,4.0,0.0,
U07,0.119222482,0.002406064,0.483842373,3.0,0.0,
U07,0.12089341,0.009499659,0.314146757,48.0,0.145833333,
U07,0.094241836,0.000752544,1.557243991,11.0,0.0,
U07,0.143673297,0.012831103,0.406387726,31.0,0.0,1.0
U07,0.100205104,0.001574763,0.165145094,12.0,0.0,1.0
U07,0.109375301,0.002924336,0.277592841,39.0,0.025641026,2.0
U07,1.13120532,0.023191522,0.08723017,21.0,0.0,2.0
U07,0.194607449,0.050464709,0.579467392,11.0,0.0,
U07,0.063157585,0.000187146,3.903825313,9.0,0.0,1.0
U07,0.090183953,0.000947225,0.259894566,12.0,0.083333333,1.0
U07,0.084186983,0.000327498,0.455359221,5.0,0.2,
U07,0.100623031,0.001269465,1.569081441,24.0,0.041666667,2.0
U07,0.092844168,9.81e-05,4.371636868,6.0,0.166666667,2.0
U07,2.157469114,1.661703106,1.967152286,11.0,0.0,
U07,0.090513527,0.000111596,0.371695042,4.0,0.0,3.0
U07,0.082752705,0.000164804,0.493237317,5.0,0.2,3.0
U07,0.081636906,0.00163541,9.310292721,3.0,0.0,3.0
U07,0.102147844,0.001775195,0.242103773,46.0,0.086956522,3.0
U07,0.16502279,0.005137025,1.330336253,4.0,0.0,
U07,0.012970368,2.72e-05,0.220973134,3.0,0.0,1.0
U07,0.523507807,3.817988248,0.410211123,79.0,0.012658228,1.0
U07,0.30884227,1.433484204,0.654126552,89.0,0.011235955,
U07,0.10720365,0.00096723,0.47485116,126.0,0.047619048,
U07,0.105160556,0.000924806,0.203735285,44.0,0.022727273,
U07,0.109106496,0.004578711,0.636449019,76.0,0.078947368,
U07,0.10208202,0.001386945,0.673255422,90.0,0.0,
U07,0.100585373,0.003358008,0.711912516,85.0,0.0,
U07,0.10639106,0.001655662,0.751291553,80.0,0.0375,2.0
U07,0.122036329,0.015689399,0.373337863,160.0,0.15625,2.0
U07,0.10059201,0.001793416,0.897060983,67.0,0.044776119,
U07,0.513665863,1.955809627,0.35933866,132.0,0.143939394,
U07,0.74705526,30.0451949,0.658935608,91.0,0.120879121,
U07,0.133480919,0.012808018,1.210908019,50.0,0.02,
U07,0.258901145,1.646929751,0.35739785,168.0,0.077380952,
U07,0.095526784,0.003311235,0.793794703,75.0,0.066666667,
U07,0.112710602,0.005585289,0.758660759,71.0,0.014084507,
U07,0.107235267,0.002479162,0.469101378,66.0,0.060606061,1.0
U07,0.120534097,0.010383318,0.451110487,82.0,0.012195122,1.0
U07,0.109349635,0.002687904,0.516558484,99.0,0.070707071,
U07,0.102069026,0.001073821,0.56964176,64.0,0.078125,
U07,0.167188071,0.067815233,0.517898134,38.0,0.026315789,1.0
U07,0.079813957,4.81e-05,3.582729101,4.0,0.0,1.0
U07,0.14954149,0.040169409,1.557447546,35.0,0.085714286,
U07,0.377231782,6.703423903,0.295909158,203.0,0.02955665,
U07,0.525626595,5.371870393,0.44975509,134.0,0.104477612,
U07,0.486801207,11.28951468,0.343539366,173.0,0.040462428,
U07,0.104842188,0.002575458,0.306982605,134.0,0.037313433,
U07,0.101541077,0.001800124,0.495557347,93.0,0.11827957,
U07,0.603396001,4.421896063,0.452447937,90.0,0.144444444,
U07,0.295518532,4.413311604,0.417048661,143.0,0.055944056,
U07,0.117270029,0.007959607,0.358132523,112.0,0.116071429,
U07,0.329164109,2.032292872,0.298358779,113.0,0.026548673,
U07,0.090079731,0.00108094,0.800831771,31.0,0.0,
U07,0.116266845,0.006520909,0.654538393,68.0,0.0,
U07,0.09085408,0.00137038,0.427369191,66.0,0.075757576,
U07,0.138248217,0.008957662,1.16716965,40.0,0.15,
U07,0.096453935,0.000422634,1.093528465,55.0,0.018181818,
U07,0.087786913,0.000247847,0.515551686,27.0,0.074074074,2.0
U07,0.124380086,0.008691104,0.311849251,94.0,0.010638298,2.0
U07,0.138471127,0.009420522,0.653882545,47.0,0.0,
U07,0.119841309,0.009214198,0.379033682,52.0,0.038461538,
U07,0.561466324,8.680973596,0.278355443,211.0,0.066350711,
U07,0.098001991,0.004749023,0.833929979,72.0,0.041666667,
U07,0.105512755,0.012458964,0.340059955,141.0,0.14893617,
U07,0.122697624,0.010738124,0.462607271,90.0,0.077777778,1.0
U07,0.43381092,9.074762211,0.516175119,108.0,0.027777778,1.0
U07,0.155859257,0.026203293,0.791923473,68.0,0.014705882,
U07,0.109858414,0.002860958,0.476382809,88.0,0.0,
U07,0.339121682,0.893766557,0.299062314,200.0,0.025,
U07,0.284276357,4.835728277,0.36621967,162.0,0.055555556,
U07,0.123755081,0.011256285,1.842757472,30.0,0.0,
U07,0.130630923,0.017284901,0.79878356,51.0,0.058823529,
U07,0.104586855,0.002344827,0.266490187,149.0,0.040268456,1.0
U07,0.152095118,0.376636812,0.329444426,180.0,0.022222222,1.0
U07,0.398892645,7.199980573,0.305704567,192.0,0.078125,
U07,0.124355254,0.014771134,0.856072664,70.0,0.085714286,
U07,1.489803513,27.51747195,0.328856409,137.0,0.525547445,
U07,0.107855148,0.00289959,1.086557011,37.0,0.027027027,
U07,0.121293091,0.014515353,0.360271292,63.0,0.015873016,
U07,0.240178262,0.932355788,0.361953693,92.0,0.195652174,
U07,0.196692765,0.054097707,0.450461728,8.0,0.0,2.0
U07,0.365203818,4.437957208,0.384430152,123.0,0.048780488,2.0
U07,0.75166647,3.917467036,0.334698567,53.0,0.358490566,
U07,0.139411497,0.010378547,1.064705323,55.0,0.109090909,
U07,0.301040621,2.106913172,0.411114866,111.0,0.144144144,
U07,2.4002496,17.76504916,0.300864639,149.0,0.798657718,
U07,0.211264152,0.773170078,0.352936919,164.0,0.091463415,
U07,0.336150748,2.30761668,0.326272445,184.0,0.059782609,
U07,0.114501389,0.012678908,0.518162323,116.0,0.103448276,3.0
U07,0.119685311,0.018350166,0.611850076,83.0,0.277108434,3.0
U07,0.100569628,0.000800792,0.672126929,37.0,0.054054054,
U07,2.069153204,26.16572647,0.528055449,111.0,0.207207207,
U07,0.109179563,0.001029162,1.819250422,29.0,0.0,
U07,0.121321162,0.001237141,0.55449269,12.0,0.0,
U07,0.156759523,0.024581339,0.684173851,75.0,0.053333333,
U07,0.223877327,1.089671937,0.41698082,134.0,0.059701493,
U07,0.097308942,0.00194604,0.236994743,7.0,0.142857143,3.0
U07,0.081983685,5.09e-05,0.595861435,4.0,0.0,3.0
U07,0.100521065,0.001536916,0.298863749,75.0,0.0,
U07,0.093627974,0.001420048,0.380306221,54.0,0.055555556,
U07,0.115571781,0.005383197,0.266104739,77.0,0.064935065,
U07,2.989603571,50.82432833,0.231181843,173.0,0.554913295,2.0
U07,0.113605285,0.008149083,0.237631885,42.0,0.0,2.0
U07,0.134143439,0.030477576,0.459365529,131.0,0.251908397,
U07,0.178499376,0.065152735,0.643033151,92.0,0.054347826,
U07,1.787808668,34.57568355,0.425765858,141.0,0.163120567,
U07,0.237623732,1.672387845,0.463111303,130.0,0.023076923,
U07,1.645809951,36.20630245,0.265341375,217.0,0.115207373,
U07,0.162858807,0.588388937,0.379087479,157.0,0.044585987,1.0
U07,0.128316694,0.042292763,0.472548263,57.0,0.087719298,1.0
U07,0.082065811,0.000809436,0.724160969,25.0,0.12,
U07,0.098462582,0.00046204,1.435661499,14.0,0.0,
U07,2.333046362,33.5352796,0.930329689,29.0,0.827586207,
U07,0.087601768,0.001275221,0.467779124,54.0,0.12962963,
U07,0.114740352,0.009183809,0.272716788,116.0,0.051724138,
U07,0.119538433,0.009440321,0.367207333,163.0,0.055214724,3.0
U07,0.115287721,0.008341158,0.605496825,71.0,0.028169014,3.0
U07,0.352511184,1.747290968,0.697131859,57.0,0.105263158,
U07,0.121944618,0.003968372,0.595464029,45.0,0.088888889,
U07,0.119050295,0.007514401,0.523656383,95.0,0.094736842,
U07,0.093717664,0.001107408,1.676987341,36.0,0.0,
U07,0.092920834,0.000968212,1.131265226,54.0,0.055555556,
U07,0.130994442,0.015985019,0.508373611,50.0,0.04,
U07,0.055238485,5.22e-05,1.26676019,4.0,0.0,1.0
U07,0.180009629,0.023128245,0.613625893,29.0,0.0,1.0
U07,0.209681515,0.408796392,0.392879085,58.0,0.051724138,
U07,0.093116352,0.001247155,0.414119176,103.0,0.058252427,
U07,0.100266411,0.001824612,0.77933224,52.0,0.019230769,
U07,0.103669672,0.0016055,0.201556849,41.0,0.024390244,
U07,0.094883502,0.001419531,0.177676269,8.0,0.0,
U07,0.116147196,0.002305357,2.297039092,17.0,0.0,1.0
U07,0.175277849,0.06280376,0.321765864,28.0,0.642857143,1.0
U07,0.095308834,0.00128453,0.25713297,27.0,0.148148148,
U07,0.101587248,0.000956873,0.394699216,5.0,0.0,
U07,1.188220835,3.111834826,2.940594137,21.0,0.523809524,
U07,3.255111823,36.58430532,0.519227754,112.0,0.5,
U07,0.099072597,0.002502508,0.379589862,110.0,0.090909091,
U07,0.49765326,4.733861061,0.282370481,188.0,0.058510638,
U07,0.207593516,0.687006292,0.427270722,91.0,0.076923077,3.0
U07,2.974563531,87.97935886,0.723970729,78.0,0.217948718,3.0
U07,0.177928393,0.062691219,1.013729069,55.0,0.036363636,
U07,0.149814075,0.062410515,0.606722963,99.0,0.02020202,
U07,0.224320659,2.134874388,0.36465276,158.0,0.03164557,
U07,0.120698907,0.009807357,0.396143522,51.0,0.156862745,
U07,0.095018882,0.000979427,1.182150455,51.0,0.156862745,
U07,0.084898894,0.0006975,0.550977082,22.0,0.0,
U07,0.125374716,0.009678092,0.399664658,133.0,0.07518797,2.0
U07,0.402974578,8.748543362,0.291522396,193.0,0.07253886,2.0
U07,0.166344905,0.224710929,0.416464183,106.0,0.066037736,
U07,0.121935497,0.010622665,0.312877924,124.0,0.024193548,
U07,0.496164512,5.999445816,0.318531241,175.0,0.057142857,
U07,0.640787121,24.90778048,0.334210706,180.0,0.138888889,
U07,0.189660458,0.828227558,0.403546927,148.0,0.027027027,3.0
U07,0.11395679,0.000415377,0.519364715,19.0,0.052631579,3.0
