user,session,avg_hold,std_hold,avg_dd,std_dd,avg_ud,std_ud,typing_speed_proxy,stress_level
s002,1,0.098090909090909,0.0253654274375755,0.28994,0.226578037574499,0.18835,0.2407615567781165,1.7349637786880203,0
s002,1,0.0935818181818182,0.0224107482330161,0.31492,0.2479311723487432,0.22008,0.2525216901574992,1.5908827953256972,0
s002,1,0.0917090909090909,0.016838494858238,0.33679,0.244030045736631,0.2446499999999999,0.246533451640498,1.4855550033492513,0
s002,1,0.0947818181818181,0.0180402227359763,0.36299,0.2310449617138043,0.26657,0.2322968075066417,1.380563671596534,0
s002,1,0.0859,0.0269465025559904,0.29114,0.1966225781089807,0.20541,0.2048935411920596,1.7168855695767875,0
s002,1,0.0917363636363636,0.0168090614090896,0.28555,0.2097875711285108,0.19285,0.2160969496931103,1.7539663557362672,0
s002,1,0.0909545454545454,0.0221773922559151,0.3154100000000001,0.2301991381874011,0.2223599999999999,0.235671415322266,1.59052164772259,0
s002,1,0.0921363636363636,0.0216590984451002,0.32225,0.231979784799356,0.22911,0.2420942858107605,1.5540103355814685,0
s002,1,0.096990909090909,0.0331004366903355,0.35783,0.2117724515186577,0.2603499999999999,0.216359932879347,1.3982671656361862,0
s002,1,0.0952272727272727,0.0280099300573596,0.33501,0.2064956951394171,0.2362,0.2154229741178451,1.500516314022598,0
s002,1,0.0878363636363636,0.0173701625051277,0.30313,0.2353344808753891,0.2152999999999999,0.2376978146956995,1.6494400151148687,0
s002,1,0.1006363636363636,0.0223122510172,0.2784099999999999,0.1806328224757492,0.17795,0.1884098679298229,1.795343857312599,0
s002,1,0.0891181818181818,0.0221385554263063,0.30567,0.1972106547155435,0.21342,0.2090817426537073,1.6441738698920376,0
s002,1,0.0898272727272727,0.0208982817910511,0.2897299999999999,0.19224087928083,0.19683,0.2007821431303092,1.7349446237220556,0
s002,1,0.0914272727272727,0.0270805498802772,0.3686399999999999,0.2409209838192689,0.2734799999999999,0.250439510549842,1.3632386584740157,0
s002,1,0.0944818181818182,0.0168251489254519,0.2891199999999999,0.2290642064283869,0.1924999999999999,0.2357130270288664,1.7358042770217386,0
s002,1,0.0934454545454545,0.0195011468194239,0.35143,0.2251725513664773,0.25886,0.2324156917632236,1.4209885171209735,0
